id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
46546172,Dupont Circle,3/14/2012,T,0.94,3,Entire home/apt,4,1 bath,1,2,109,31
46551522,Capitol Hill,10/13/2014,T,0.97,6,Entire home/apt,6,1 bath,2,5,273,1
46576144,Foggy Bottom,5/26/2012,F,0,2,Entire home/apt,2,1 bath,,1,65,90
46598276,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,4,2.5 baths,2,2,263,31
46618297,Union Station,4/18/2018,F,1,2,Entire home/apt,3,1 bath,1,1,100,2
46626850,Union Station,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,2,87,31
46628220,Dupont Circle,3/8/2016,F,,1,Entire home/apt,4,1.5 baths,1,2,95,31
46646458,Capitol Hill,1/9/2013,T,0.97,2,Entire home/apt,2,1 bath,1,1,10,2
46694180,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,183,31
46696105,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,103,31
46696132,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,240,31
46778196,Capitol Hill,12/2/2020,F,0.75,1,Entire home/apt,6,2.5 baths,3,2,999,2
46819326,Dupont Circle,2/27/2016,F,1,3,Entire home/apt,2,1 bath,,2,110,31
46820637,Foggy Bottom,1/18/2019,F,,1,Entire home/apt,1,1 bath,,1,110,31
46835835,Capitol Hill,4/24/2012,T,0.97,1,Entire home/apt,2,1 bath,1,1,131,3
46861924,Dupont Circle,6/3/2017,T,0.98,7,Entire home/apt,2,1 bath,1,1,105,31
46875064,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,185,2
46926304,Union Station,3/24/2018,F,0.98,1,Entire home/apt,5,2.5 baths,2,2,229,2
46935328,Union Station,4/27/2016,T,0.91,19,Entire home/apt,8,2 baths,2,4,253,2
46937902,Union Station,4/27/2016,T,0.91,19,Entire home/apt,8,2 baths,2,4,284,2
46962264,Union Station,11/23/2014,F,,2,Entire home/apt,8,3 baths,4,4,250,31
47031108,Capitol Hill,5/14/2018,F,0.99,4,Entire home/apt,4,1 bath,2,3,203,2
47043132,Capitol Hill,11/25/2020,F,,4,Entire home/apt,8,4 baths,4,4,350,31
47052036,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,1,220,2
47052488,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,2,1 bath,1,1,127,31
47074315,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,176,1
47134889,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,2,285,31
47160427,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,138,31
47160436,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,106,31
47196271,Shaw,4/22/2017,F,1,43,Entire home/apt,4,1 bath,1,2,200,1
47200180,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,5,1 bath,2,2,164,31
47236322,Capitol Hill,10/17/2012,F,0.93,1,Entire home/apt,4,1 bath,1,2,129,2
47286904,Capitol Hill,8/24/2015,T,1,1,Entire home/apt,4,1 bath,1,2,194,2
47312241,Georgetown,2/10/2015,F,,1,Entire home/apt,4,1 bath,,2,198,365
47338049,Georgetown,9/20/2014,T,1,16,Entire home/apt,5,1.5 baths,2,3,200,31
47344011,Union Station,12/30/2020,F,0.96,1,Entire home/apt,6,2 baths,3,3,257,2
47391929,Union Station,12/13/2012,T,0.97,2,Entire home/apt,4,1 bath,1,1,118,1
47422629,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,2,178,31
47467694,Foggy Bottom,3/30/2015,F,0.98,1025,Entire home/apt,3,1 bath,1,2,479,31
47491462,Union Station,7/27/2014,F,0.83,3,Entire home/apt,8,3.5 baths,4,4,489,3
47584906,Dupont Circle,8/26/2019,T,0.98,21,Entire home/apt,4,1 bath,2,2,270,2
47802409,Union Station,8/25/2017,T,1,1,Entire home/apt,8,3.5 baths,3,3,367,2
47852874,Capitol Hill,3/10/2013,F,,1,Entire home/apt,3,1 bath,,1,118,31
47904079,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
47904846,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
47907049,Dupont Circle,1/25/2021,F,0.97,1,Entire home/apt,2,1 bath,,2,140,2
47949791,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
47950478,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
47952346,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
47962755,Dupont Circle,1/30/2021,T,1,8,Entire home/apt,2,1 bath,,1,89,31
47976480,Shaw,1/30/2021,T,1,8,Entire home/apt,2,1 bath,,1,99,31
47991451,Capitol Hill,3/29/2018,F,0.99,489,Entire home/apt,2,1 bath,1,1,125,31
47992072,Georgetown,9/20/2014,T,1,16,Entire home/apt,2,1 bath,,1,109,1
48080819,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,170,31
48133696,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48134650,Union Station,3/12/2017,F,1,1,Entire home/apt,6,2.5 baths,3,3,189,2
48167321,Shaw,10/8/2014,T,0.97,1,Entire home/apt,2,1 bath,1,1,178,2
48179886,Capitol Hill,1/27/2018,T,1,16,Entire home/apt,3,1 bath,1,2,228,31
48206931,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48216250,Union Station,2/17/2021,T,0.99,1,Entire home/apt,4,1 bath,1,2,175,2
48238638,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,31
48253207,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48267834,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48281550,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48298402,Shaw,4/6/2018,F,0.83,11,Entire home/apt,6,2.5 baths,3,3,234,31
48300497,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,218,30
48300551,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,1,215,1
48313097,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48313254,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48324388,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48326333,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48359588,Capitol Hill,2/27/2021,F,1,3,Entire home/apt,6,2.5 baths,3,5,321,31
48360662,Foggy Bottom,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,,2,120,31
48380683,Shaw,10/28/2013,T,0.99,16,Entire home/apt,10,3 baths,4,5,568,2
48381544,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,153,1
48383542,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,6,2 baths,2,3,199,2
48402694,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,1,150,2
48420639,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48420788,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48428931,Union Station,1/12/2017,T,0.98,2,Entire home/apt,4,1 bath,1,2,163,3
48431239,Union Station,3/3/2021,T,0.98,1,Entire home/apt,6,2 baths,3,3,260,2
48480522,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48480619,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48483204,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,179,1
48498684,Shaw,1/26/2021,F,1,41,Private room,4,1 private bath,,1,171,1
48498771,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48498928,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48498997,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48502935,Union Station,6/24/2012,T,0.99,2,Entire home/apt,2,1 bath,1,1,139,2
48572918,Capitol Hill,8/6/2018,F,0.94,2,Entire home/apt,3,1 bath,1,1,91,31
48601162,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48602008,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48603444,Foggy Bottom,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,2,1,201,31
48603452,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,1,123,31
48622303,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48628618,Dupont Circle,3/11/2021,F,0.99,9,Entire home/apt,2,1 bath,1,1,95,1
48628620,Dupont Circle,3/11/2021,F,0.99,9,Entire home/apt,3,1 bath,1,2,106,1
48628626,Dupont Circle,3/11/2021,F,0.99,9,Entire home/apt,3,1 bath,1,2,131,1
48628629,Dupont Circle,3/11/2021,F,0.99,9,Entire home/apt,3,1 bath,1,2,109,1
48656829,Union Station,5/18/2009,F,0.99,164,Entire home/apt,4,1.5 baths,2,2,146,31
48679512,Capitol Hill,3/15/2021,F,1,1,Entire home/apt,4,1 bath,1,4,202,2
48694746,Union Station,12/15/2014,T,0.99,1,Entire home/apt,4,1 bath,2,2,295,2
48697906,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,1,85,31
48698210,Union Station,4/23/2019,T,0.99,8,Entire home/apt,2,1 bath,1,2,110,31
48698426,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,1,82,31
48699869,Union Station,4/23/2019,T,0.99,8,Entire home/apt,4,1 bath,2,4,110,31
48701419,Union Station,4/23/2019,T,0.99,8,Entire home/apt,4,1 bath,2,2,110,31
48702391,Union Station,4/23/2019,T,0.99,8,Entire home/apt,4,1 bath,2,4,145,31
48713100,Dupont Circle,3/11/2021,F,0.99,7,Private room,3,1 private bath,,1,320,1
48734014,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48734193,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48751974,Shaw,1/26/2021,F,1,41,Private room,5,1 private bath,,2,171,1
48752131,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48754351,Shaw,1/26/2021,F,1,41,Private room,3,1 shared bath,,2,171,1
48764314,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48832169,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,192,30
48862420,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,2,1 bath,1,1,138,31
48882791,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48883039,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48888669,Union Station,7/26/2014,T,,1,Entire home/apt,2,1 bath,1,1,141,2
48920550,Georgetown,9/7/2014,F,1,2,Entire home/apt,1,1 bath,1,1,60,31
48940186,Dupont Circle,1/30/2021,T,1,8,Entire home/apt,6,2 baths,3,4,349,1
48950666,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48950835,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48973758,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,1,1,105,1
48977323,Shaw,1/26/2021,F,1,41,Private room,3,1 private bath,,1,171,1
48978596,Union Station,1/2/2020,T,1,2,Entire home/apt,1,1 bath,1,1,79,2
49029925,Union Station,2/13/2012,T,0.99,2,Entire home/apt,4,1 bath,1,2,136,2
49089210,Capitol Hill,4/7/2021,F,0.97,11,Entire home/apt,4,1 bath,1,1,122,3
49126659,Union Station,4/9/2021,T,0.97,1,Entire home/apt,3,1 bath,2,2,161,3
49160564,Union Station,4/25/2015,T,1,1,Entire home/apt,6,1 bath,2,2,231,1
49198979,Shaw,6/30/2015,T,1,1,Entire home/apt,4,2 baths,2,2,278,1
49215258,Capitol Hill,10/3/2015,T,1,16,Entire home/apt,6,2 baths,2,4,377,2
49254495,Union Station,3/25/2013,F,0.99,8001,Private room,4,1 bath,1,2,315,2
49362172,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,2,1 bath,1,1,253,31
49371148,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,2 baths,2,3,403,31
49424718,Capitol Hill,2/22/2016,T,1,1,Entire home/apt,4,1 bath,1,2,163,2
49425663,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,5,1 bath,2,2,302,31
49425664,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,2,224,2
49481871,Capitol Hill,5/22/2016,T,0.92,1,Entire home/apt,3,1 bath,1,2,115,1
49509893,Dupont Circle,8/2/2016,T,1,2,Entire home/apt,2,1 bath,1,1,145,3
49532596,Union Station,4/2/2018,F,1,10,Entire home/apt,4,1 bath,2,3,249,3
49550796,Dupont Circle,3/17/2014,F,1,3,,2,1 bath,1,1,151,2
49571052,Dupont Circle,10/16/2014,T,1,4,Entire home/apt,5,2 baths,2,3,230,1
49594740,Shaw,12/22/2013,T,0.75,1,Entire home/apt,6,1.5 baths,3,3,379,3
49611274,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,6,1 bath,2,3,147,31
49615870,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,147,31
49615874,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,5,1 bath,2,3,162,31
49638218,Dupont Circle,6/8/2015,T,0.98,3,Entire home/apt,2,1 bath,,2,136,1
49670688,Dupont Circle,1/18/2015,T,0.99,1,Entire home/apt,5,1 bath,2,3,227,1
49690180,Union Station,7/29/2015,F,0.99,339,Entire home/apt,9,2.5 baths,4,6,421,2
49692169,Georgetown,11/6/2015,F,,1,Entire home/apt,6,1.5 baths,2,4,238,31
49703961,Foggy Bottom,12/16/2016,F,0.97,5607,Entire home/apt,2,1 bath,1,1,270,32
49710453,Dupont Circle,5/10/2021,T,0.99,1,Entire home/apt,3,1 bath,1,2,182,2
49737027,Union Station,6/4/2012,T,1,1,Entire home/apt,4,1 bath,1,2,130,1
49760565,Dupont Circle,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,230,31
49790764,Union Station,5/7/2019,T,0.98,17,Entire home/apt,10,3 baths,3,4,284,2
49792401,Union Station,5/7/2019,T,0.98,17,Entire home/apt,10,3 baths,3,4,392,2
49838391,Georgetown,5/18/2009,F,0.99,164,Entire home/apt,5,3.5 baths,3,3,333,31
49854819,Shaw,5/17/2021,T,0.99,2,Entire home/apt,4,1 bath,1,2,217,2
49929890,Capitol Hill,12/6/2017,T,1,2,Entire home/apt,3,1 bath,1,2,108,1
49932041,Union Station,9/11/2015,T,0.99,1,Entire home/apt,5,1 bath,1,3,149,2
50012393,Shaw,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,2,153,1
50064134,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,3,1.5 baths,1,1,139,31
50065710,Union Station,7/22/2013,F,0.24,221,Entire home/apt,4,2 baths,2,2,209,31
50070189,Shaw,7/22/2013,F,0.24,221,Entire home/apt,2,1 bath,1,1,127,31
50082659,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,3,1 bath,1,1,106,31
50092809,Georgetown,9/20/2014,T,1,16,Entire home/apt,4,1 bath,2,2,176,1
50111565,Union Station,2/23/2015,T,1,1,Entire home/apt,6,1 bath,2,3,201,2
50137065,Shaw,1/24/2019,F,1,6,Entire home/apt,10,2 baths,5,5,633,1
50137546,Shaw,1/24/2019,F,1,6,Shared room,2,2 shared baths,,1,117,1
50154232,Union Station,9/23/2016,T,,27,Entire home/apt,11,2.5 baths,4,5,512,1
50187006,Union Station,4/6/2011,T,0.99,193,Entire home/apt,2,1 bath,1,1,176,2
50189233,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,4,1 bath,1,1,279,1
50189968,Dupont Circle,4/3/2016,T,1,1,,4,1 bath,1,2,221,1
50189970,Dupont Circle,7/22/2013,F,0.24,221,Entire home/apt,3,1 bath,1,1,145,31
50223391,Capitol Hill,6/5/2021,T,0.99,1,Entire home/apt,4,1 bath,1,2,190,2
50245979,Shaw,1/24/2019,F,1,6,Shared room,2,2 shared baths,,1,117,1
50246179,Shaw,1/24/2019,F,1,6,Shared room,2,2 shared baths,,1,117,1
50246213,Shaw,1/24/2019,F,1,6,Shared room,2,2 shared baths,,1,117,1
