listing_id,total_reviews,avg_rating
6.61E+17,2,4
31388922,2,5
51328356,2,5
20722572,2,5
31332079,2,5
8.84E+17,4,4.75
8.34E+17,4,5
45719672,4,5
49671219,4,5
8.75E+17,5,4.6
9660463,6,4.83
18868200,6,5
49013551,6,4.5
33772102,7,4.57
51280194,7,5
6.17E+17,7,5
53509301,8,5
48300551,8,4.75
34859597,9,4.56
12581800,10,5
5.41E+17,11,4.91
8.31E+17,11,4.91
19018633,13,4.92
4635196,15,4.5
45673093,15,4.8
47852874,15,4.87
37431165,15,4.93
53356279,15,4.8
14331755,16,4.86
30557727,16,4.63
54103533,17,4.94
871825,18,4.83
15744305,18,5
48572918,18,4.67
21680495,18,4.56
34421731,19,4.95
44533310,20,4.95
6.61E+17,20,5
9473056,21,4.95
32763621,22,4.82
46646458,22,5
47991451,23,4.26
7.36E+17,24,4.71
12513824,26,4.81
52778681,26,5
43186585,27,4.81
16757351,28,4.82
542144,31,4.9
5.62E+17,34,4.97
49089210,34,4.38
22325323,34,4.94
5.70E+17,35,5
20347049,36,5
16704758,37,4.73
50433453,38,4.84
6.32E+17,39,4.97
36488009,42,4.95
52949076,43,4.93
26669063,44,4.73
51818199,45,4.98
8347485,45,4.95
16179637,45,4.91
12400338,46,4.59
46835835,48,4.88
50189233,49,4.78
36972948,50,4.84
22513442,52,4.88
30561986,52,4.44
4197,53,4.84
10543751,55,4.96
46731252,55,5
22139377,55,4.96
26956333,58,4.43
36705115,59,4.93
6.35E+17,59,4.95
5.63E+17,60,4.73
16678182,65,5
48402694,66,4.65
25475308,66,4.56
17846412,67,4.93
16018100,68,4.81
21753674,74,4.93
11714338,78,4.88
43186713,80,4.75
43982311,80,4.95
37881373,81,4.84
52991846,84,4.81
10405545,85,4.89
52802036,85,4.89
32919163,85,4.94
1806338,86,4.86
20358943,89,4.83
52069671,89,4.89
16335709,96,4.74
16795499,97,4.92
9624481,97,4.84
53187754,98,4.91
29853236,100,4.67
33008668,101,4.96
3806145,104,4.93
43059320,104,4.9
4416095,104,4.85
53834887,107,5
42037592,107,4.93
44559749,111,4.9
15937364,111,4.93
11809415,112,4.94
38321510,113,4.96
4848799,116,4.86
36909059,123,4.97
2690487,127,4.7
10551108,129,4.91
38266236,130,4.98
6133914,134,5
15665231,135,4.93
1880860,143,4.37
37421005,148,4.97
6836332,151,4.64
355527,152,4.78
22825478,153,4.82
24371327,160,4.82
44206370,169,4.96
12784285,172,4.91
20773444,183,4.68
19388832,193,4.94
13492207,203,4.7
15218873,204,4.96
9094563,206,4.97
15552233,211,4.89
17840858,218,4.95
46453457,237,4.95
15522091,244,4.9
21122879,284,4.99
25101761,288,4.99
18746031,294,4.95
11183754,297,4.95
20138796,306,5
14944917,307,4.89
18853536,324,4.87
38478357,363,4.99
6832557,366,4.87
24773385,370,4.78
39726649,381,4.94
10626368,402,4.86
12253009,491,4.93
4801046,546,4.92
409582,578,4.88
2791050,609,4.93
30037994,115,4.92
26253393,155,4.77
19641640,10,5
8.06E+17,13,4.62
8.24E+17,18,4.78
43159768,54,4.76
51303738,98,4.83
1761677,125,4.94
8581470,129,4.7
43346847,11,4.82
8.27E+17,12,4.75
7.60E+17,16,4.88
7.16E+17,18,4.72
53166511,21,4.62
18387961,24,4.43
45548365,31,4.58
883653,35,4.91
52516874,36,4.81
17761010,45,4.91
8710450,65,5
6.22E+17,71,4.82
50655982,72,4.5
46372191,2,4
8.72E+17,2,5
7.85E+17,3,5
18633212,4,5
6.95E+17,4,5
8.93E+17,5,4.8
8.73E+17,5,4.8
8.00E+17,6,4.83
7.45E+17,7,5
36117442,10,3.9
27991634,11,5
53494379,13,4.54
36117343,16,4.25
36117208,23,4.3
54016319,30,4.97
46418162,31,4.84
52391269,38,4.74
2919216,65,4.68
17131099,67,4.7
